c_nace|d_pocpl|d_ukopl|naz_nace|
476400|2026-01-01||MALOOBCHOD S HRAMI A HRAČKAMI|
477200|2026-01-01||MALOOBCHOD S OBUVÍ A KOŽENÝMI VÝROBKY|
477600|2026-01-01||MALOOBCHOD S KVĚTINAMI, ROSTLINAMI, HNOJIVY, ZVÍŘATY PRO ZÁJMOVÝ CHOV A KRMIVY PRO NĚ|
477840|1992-01-01|2025-12-31|MALOOBCHOD S PLYNNÝMI PALIVY (KROMĚ POHONNÝCH HMOT)|
478100|1992-01-01|2025-12-31|MALOOBCHOD S POTRAVINAMI, NÁPOJI A TABÁKOVÝMI VÝROBKY VE STÁNCÍCH A NA TRZÍCH|
479100|1992-01-01|2025-12-31|MALOOBCHOD PROSTŘEDNICTVÍM INTERNETU NEBO ZÁSILKOVÉ SLUŽBY|
491000|1992-01-01|2025-12-31|ŽELEZNIČNÍ OSOBNÍ DOPRAVA MEZIMĚSTSKÁ|
493100|1992-01-01|2025-12-31|MĚSTSKÁ A PŘÍMĚSTSKÁ POZEMNÍ OSOBNÍ DOPRAVA|
493910|1992-01-01|2025-12-31|MEZIMĚSTSKÁ PRAVIDELNÁ POZEMNÍ OSOBNÍ DOPRAVA|
494200|1992-01-01|2025-12-31|STĚHOVACÍ SLUŽBY|
500000|2026-01-01||VODNÍ DOPRAVA|
504000|2026-01-01||VNITROZEMSKÁ VODNÍ NÁKLADNÍ DOPRAVA|
511040|1992-01-01|2025-12-31|MEZINÁRODNÍ NEPRAVIDELNÁ LETECKÁ OSOBNÍ DOPRAVA|
520000|1992-01-01|2025-12-31|SKLADOVÁNÍ A VEDLEJŠÍ ČINNOSTI V DOPRAVĚ|
522200|1992-01-01|2025-12-31|ČINNOSTI SOUVISEJÍCÍ S VODNÍ DOPRAVOU|
522900|1992-01-01|2025-12-31|OSTATNÍ VEDLEJŠÍ ČINNOSTI V DOPRAVĚ|
532000|1992-01-01|2025-12-31|OSTATNÍ POŠTOVNÍ A KURÝRNÍ ČINNOSTI|
551020|1992-01-01|2025-12-31|MOTELY, BOTELY|
559000|2026-01-01||OSTATNÍ UBYTOVÁNÍ|
561100|2026-01-01||POSKYTOVÁNÍ STRAVOVÁNÍ V RESTAURACÍCH|
562910|1992-01-01|2025-12-31|STRAVOVÁNÍ V ZÁVODNÍCH KUCHYNÍCH|
581000|1992-01-01|2025-12-31|VYDÁVÁNÍ KNIH, PERIODICKÝCH PUBLIKACÍ A OSTATNÍ VYDAVATELSKÉ ČINNOSTI|
581300|1992-01-01|2025-12-31|VYDÁVÁNÍ NOVIN|
582000|1992-01-01|2025-12-31|VYDÁVÁNÍ SOFTWARU|
591000|1992-01-01|2025-12-31|ČINNOSTI V OBLASTI FILMŮ, VIDEOZÁZNAMŮ A TELEVIZNÍCH PROGRAMŮ|
591400|1992-01-01|2025-12-31|PROMÍTÁNÍ FILMŮ|
601010|2026-01-01||ROZHLASOVÉ VYSÍLÁNÍ|
610000|2026-01-01||TELEKOMUNIKAČNÍ ČINNOSTI|
612000|1992-01-01|2025-12-31|ČINNOSTI SOUVISEJÍCÍ S BEZDRÁTOVOU TELEKOMUNIKAČNÍ SÍTÍ|
619000|1992-01-01|2025-12-31|OSTATNÍ TELEKOMUNIKAČNÍ ČINNOSTI|
621000|2026-01-01||POČÍTAČOVÉ PROGRAMOVÁNÍ|
631000|2026-01-01||POSKYTOVÁNÍ POČÍTAČOVÉ INFRASTRUKTURY, ZPRACOVÁNÍ DAT, HOSTING A SOUVISEJÍCÍ ČINNOSTI|
639900|1992-01-01|2025-12-31|OSTATNÍ INFORMAČNÍ ČINNOSTI J. N.|
641900|2026-01-01||OSTATNÍ PENĚŽNÍ ZPROSTŘEDKOVÁNÍ|
643200|2026-01-01||ČINNOSTI SVĚŘENSKÝCH FONDŮ, MAJETKOVÝCH A AGENTURNÍCH ÚČTŮ|
649210|2026-01-01||POSKYTOVÁNÍ SPOTŘEBITELSKÝCH ÚVĚRŮ SPOLEČNOSTMI, KTERÉ NEPŘIJÍMAJÍ VKLADY|
649900|1992-01-01|2025-12-31|OSTATNÍ FINANČNÍ ZPROSTŘEDKOVÁNÍ J. N.|
650000|2026-01-01||POJIŠŤOVACÍ A ZAJIŠŤOVACÍ ČINNOSTI, PENZIJNÍ FINANCOVÁNÍ, KROMĚ POVINNÉHO SOCIÁLNÍHO ZABEZPEČENÍ|
652000|2026-01-01||ZAJIŠŤOVACÍ ČINNOSTI|
661100|2026-01-01||ŘÍZENÍ A SPRÁVA FINANČNÍCH TRHŮ|
662100|2026-01-01||VYHODNOCOVÁNÍ RIZIK A ŠKOD|
680000|2026-01-01||ČINNOSTI V OBLASTI NEMOVITOSTÍ|
682020|1992-01-01|2025-12-31|PRONÁJEM VLASTNÍCH NEBO PRONAJATÝCH NEMOVITOSTÍ S NEBYTOVÝMI PROSTORY|
683200|2026-01-01||OSTATNÍ ČINNOSTI V OBLASTI NEMOVITOSTÍ NA ZÁKLADĚ SMLOUVY NEBO DOHODY|
700000|2026-01-01||ČINNOSTI ŘÍZENÍ PODNIKŮ A PORADENSTVÍ V OBLASTI PODNIKÁNÍ|
710000|2026-01-01||ARCHITEKTONICKÉ A INŽENÝRSKÉ ČINNOSTI; TECHNICKÉ ZKOUŠKY A ANALÝZY|
711220|1992-01-01|2025-12-31|ZEMĚMĚŘICKÉ A KARTOGRAFICKÉ ČINNOSTI|
720000|2026-01-01||VÝZKUM A VÝVOJ|
722000|1992-01-01|2025-12-31|VÝZKUM A VÝVOJ V OBLASTI SPOLEČENSKÝCH A HUMANITNÍCH VĚD|
731200|1992-01-01|2025-12-31|ZASTUPOVÁNÍ MÉDIÍ PŘI PRODEJI REKLAMNÍHO ČASU A PROSTORU|
741000|2026-01-01||SPECIALIZOVANÉ NÁVRHÁŘSKÉ ČINNOSTI|
742000|2026-01-01||FOTOGRAFICKÉ ČINNOSTI|
749100|2026-01-01||ČINNOSTI PATENTOVÝCH ZÁSTUPCŮ A PRODEJ PATENTŮ|
771100|1992-01-01|2025-12-31|PRONÁJEM A LEASING AUTOMOBILŮ A JINÝCH LEHKÝCH MOTOROVÝCH VOZIDEL, KROMĚ MOTOCYKLŮ|
772200|1992-01-01|2025-12-31|PRONÁJEM VIDEOKAZET A DISKŮ|
773200|2026-01-01||PRONÁJEM A LEASING STAVEBNÍCH STROJŮ A ZAŘÍZENÍ|
773900|2026-01-01||PRONÁJEM A LEASING OSTATNÍCH STROJŮ, ZAŘÍZENÍ A HMOTNÝCH STATKŮ J. N.|
781000|1992-01-01|2025-12-31|ČINNOSTI AGENTUR ZPROSTŘEDKUJÍCÍCH ZAMĚSTNÁNÍ|
791000|2026-01-01||ČINNOSTI CESTOVNÍCH AGENTUR A CESTOVNÍCH KANCELÁŘÍ|
799090|1992-01-01|2025-12-31|OSTATNÍ REZERVAČNÍ A SOUVISEJÍCÍ ČINNOSTI J. N.|
810000|1992-01-01|2025-12-31|ČINNOSTI SOUVISEJÍCÍ SE STAVBAMI A ÚPRAVOU KRAJINY|
812200|1992-01-01|2025-12-31|SPECIALIZOVANÉ ČIŠTĚNÍ A ÚKLID BUDOV A PRŮMYSLOVÝCH ZAŘÍZENÍ|
821000|1992-01-01|2025-12-31|ADMINISTRATIVNÍ A KANCELÁŘSKÉ ČINNOSTI|
824000|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI PODPŮRNÝCH ČINNOSTÍ PRO PODNIKÁNÍ J. N.|
829900|2026-01-01||OSTATNÍ PODPŮRNÉ ČINNOSTI PRO PODNIKÁNÍ J. N.|
841200|2026-01-01||REGULACE ČINNOSTÍ SOUVISEJÍCÍCH S POSKYTOVÁNÍM ZDRAVOTNÍ PÉČE, VZDĚLÁVÁNÍM, KULTUROU A JINÝCH SLUŽEB PRO SPOLEČNOST|
841300|2026-01-01||REGULACE A PODPORA PODNIKATELSKÉHO PROSTŘEDÍ|
842200|1992-01-01|2025-12-31|ČINNOSTI V OBLASTI OBRANY|
843000|1992-01-01|2025-12-31|ČINNOSTI V OBLASTI POVINNÉHO SOCIÁLNÍHO ZABEZPEČENÍ|
853000|1992-01-01|2025-12-31|SEKUNDÁRNÍ VZDĚLÁVÁNÍ|
853200|1992-01-01|2025-12-31|SEKUNDÁRNÍ ODBORNÉ VZDĚLÁVÁNÍ|
854000|1992-01-01|2025-12-31|POSTSEKUNDÁRNÍ VZDĚLÁVÁNÍ|
855100|1992-01-01|2025-12-31|SPORTOVNÍ A REKREAČNÍ VZDĚLÁVÁNÍ|
855390|1992-01-01|2025-12-31|ČINNOSTI OSTATNÍCH ŠKOL ŘÍZENÍ|
855990|2026-01-01||JINÉ VZDĚLÁVÁNÍ J. N.|
861000|2026-01-01||LŮŽKOVÁ ZDRAVOTNÍ PÉČE|
862300|2026-01-01||ZUBNÍ PÉČE|
869400|2026-01-01||OŠETŘOVATELSKÉ ČINNOSTI A ČINNOSTI PORODNÍCH ASISTENTEK|
871000|2026-01-01||POBYTOVÉ SLUŽBY SOCIÁLNÍ PÉČE VE ZDRAVOTNICKÝCH ZAŘÍZENÍCH LŮŽKOVÉ PÉČE|
873020|1992-01-01|2025-12-31|SOCIÁLNÍ PÉČE V DOMOVECH PRO OSOBY SE ZDRAVOTNÍM POSTIŽENÍM|
881000|2026-01-01||AMBULANTNÍ NEBO TERÉNNÍ SOCIÁLNÍ SLUŽBY PRO SENIORY NEBO OSOBY SE ZDRAVOTNÍM POSTIŽENÍM|
889900|2026-01-01||OSTATNÍ AMBULANTNÍ NEBO TERÉNNÍ SOCIÁLNÍ SLUŽBY J. N.|
900200|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PRO SCÉNICKÁ UMĚNÍ|
901300|2026-01-01||OSTATNÍ UMĚLECKÁ TVORBA|
910200|1992-01-01|2025-12-31|ČINNOSTI MUZEÍ|
912000|2026-01-01||ČINNOSTI MUZEÍ, GALERIÍ, PROVOZOVÁNÍ HISTORICKÝCH A KULTURNÍCH PAMÁTEK|
920000|2026-01-01||ČINNOSTI HEREN, KASIN A SÁZKOVÝCH KANCELÁŘÍ|
931200|2026-01-01||ČINNOSTI SPORTOVNÍCH KLUBŮ|
932100|2026-01-01||ČINNOSTI ZÁBAVNÍCH PARKŮ|
941100|2026-01-01||ČINNOSTI PODNIKATELSKÝCH A ZAMĚSTNAVATELSKÝCH ORGANIZACÍ|
949100|2026-01-01||ČINNOSTI NÁBOŽENSKÝCH ORGANIZACÍ|
949920|2026-01-01||ČINNOSTI ORGANIZACÍ NA PODPORU KULTURNÍ ČINNOSTI|
949960|2026-01-01||ČINNOSTI ORGANIZACÍ NA OCHRANU A ZLEPŠENÍ POSTAVENÍ ETNICKÝCH, MENŠINOVÝCH A JINÝCH SPECIÁLNÍCH SKUPIN|
951000|2026-01-01||OPRAVY A ÚDRŽBA POČÍTAČŮ A KOMUNIKAČNÍCH ZAŘÍZENÍ|
952200|2026-01-01||OPRAVY A ÚDRŽBA PŘÍSTROJŮ A ZAŘÍZENÍ PŘEVÁŽNĚ PRO DOMÁCNOST, DŮM A ZAHRADU|
952900|2026-01-01||OPRAVY A ÚDRŽBA VÝROBKŮ PRO OSOBNÍ POTŘEBU A PŘEVÁŽNĚ PRO DOMÁCNOST J. N.|
960200|1992-01-01|2025-12-31|KADEŘNICKÉ, KOSMETICKÉ A PODOBNÉ ČINNOSTI|
961040|2026-01-01||PRANÍ A ČIŠTĚNÍ TEXTILNÍCH A KOŽEŠINOVÝCH VÝROBKŮ PRO VEŘEJNOST|
969100|2026-01-01||POSKYTOVÁNÍ OSOBNÍCH SLUŽEB V DOMÁCNOSTECH|
982000|1992-01-01|2025-12-31|ČINNOSTI DOMÁCNOSTÍ POSKYTUJÍCÍCH BLÍŽE NEURČENÉ SLUŽBY PRO VLASTNÍ POTŘEBU|
11100|2026-01-01||PĚSTOVÁNÍ OBILOVIN JINÝCH NEŽ RÝŽE, LUŠTĚNIN A OLEJNATÝCH SEMEN|
11500|2026-01-01||PĚSTOVÁNÍ TABÁKU|
12100|2026-01-01||PĚSTOVÁNÍ VINNÝCH HROZNŮ|
12500|2026-01-01||PĚSTOVÁNÍ OSTATNÍHO STROMOVÉHO A KEŘOVÉHO OVOCE A OŘECHŮ|
12900|2026-01-01||PĚSTOVÁNÍ OSTATNÍCH TRVALÝCH PLODIN|
14200|2026-01-01||CHOV OSTATNÍHO SKOTU A BUVOLŮ|
14600|2026-01-01||CHOV PRASAT|
14990|1992-01-01|2025-12-31|CHOV OSTATNÍCH ZVÍŘAT J. N.|
16200|2026-01-01||PODPŮRNÉ ČINNOSTI PRO ŽIVOČIŠNOU VÝROBU|
21000|1992-01-01|2025-12-31|LESNÍ HOSPODÁŘSTVÍ A JINÉ ČINNOSTI V OBLASTI LESNICTVÍ|
30000|1992-01-01|2025-12-31|RYBOLOV A AKVAKULTURA|
32000|1992-01-01|2025-12-31|AKVAKULTURA|
50000|2026-01-01||TĚŽBA ČERNÉHO A HNĚDÉHO UHLÍ|
52000|2026-01-01||TĚŽBA HNĚDÉHO UHLÍ|
52040|2026-01-01||ÚPRAVA LIGNITU|
70000|2026-01-01||TĚŽBA RUD|
72000|2026-01-01||TĚŽBA NEŽELEZNÝCH RUD|
72900|2026-01-01||TĚŽBA OSTATNÍCH NEŽELEZNÝCH RUD|
81000|2026-01-01||DOBÝVÁNÍ KAMENE, PÍSKŮ A JÍLŮ|
89100|2026-01-01||TĚŽBA CHEMICKÝCH MINERÁLŮ A MINERÁLŮ PRO VÝROBU HNOJIV|
90000|2026-01-01||PODPŮRNÉ ČINNOSTI PRO TĚŽBU A DOBÝVÁNÍ NEROSTNÝCH SUROVIN|
99040|2026-01-01||PODPŮRNÉ ČINNOSTI PRO TĚŽBU ŽELEZNÝCH RUD|
101100|1992-01-01|2025-12-31|ZPRACOVÁNÍ A KONZERVOVÁNÍ MASA, KROMĚ DRŮBEŽÍHO|
103000|1992-01-01|2025-12-31|ZPRACOVÁNÍ A KONZERVOVÁNÍ OVOCE A ZELENINY|
104000|1992-01-01|2025-12-31|VÝROBA ROSTLINNÝCH A ŽIVOČIŠNÝCH OLEJŮ A TUKŮ|
105100|1992-01-01|2025-12-31|ZPRACOVÁNÍ MLÉKA, VÝROBA MLÉČNÝCH VÝROBKŮ A SÝRŮ|
106200|1992-01-01|2025-12-31|VÝROBA ŠKROBÁRENSKÝCH VÝROBKŮ|
107300|1992-01-01|2025-12-31|VÝROBA MAKARONŮ, NUDLÍ, KUSKUSU A PODOBNÝCH MOUČNÝCH VÝROBKŮ|
108300|1992-01-01|2025-12-31|ZPRACOVÁNÍ ČAJE A KÁVY|
108900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH POTRAVINÁŘSKÝCH VÝROBKŮ J. N.|
110000|1992-01-01|2025-12-31|VÝROBA NÁPOJŮ|
110400|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH NEDESTILOVANÝCH KVAŠENÝCH NÁPOJŮ|
120000|1992-01-01|2025-12-31|VÝROBA TABÁKOVÝCH VÝROBKŮ|
133000|1992-01-01|2025-12-31|KONEČNÁ ÚPRAVA TEXTILIÍ|
139300|1992-01-01|2025-12-31|VÝROBA KOBERCŮ A KOBERCOVÝCH PŘEDLOŽEK|
139900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH TEXTILIÍ J. N.|
141100|1992-01-01|2025-12-31|VÝROBA KOŽENÝCH ODĚVŮ|
142200|2026-01-01||VÝROBA OSOBNÍHO PRÁDLA|
150000|2026-01-01||VÝROBA USNÍ A SOUVISEJÍCÍCH VÝROBKŮ Z JAKÝCHKOLI MATERIÁLŮ|
152000|2026-01-01||VÝROBA OBUVI|
161000|2026-01-01||PILAŘSKÁ VÝROBA A IMPREGNACE DŘEVA; ZPRACOVÁNÍ A KONEČNÁ ÚPRAVA DŘEVA|
162200|2026-01-01||VÝROBA SESTAVENÝCH PARKETOVÝCH PODLAH|
162800|2026-01-01||VÝROBA OSTATNÍCH DŘEVĚNÝCH, KORKOVÝCH, PROUTĚNÝCH A SLAMĚNÝCH VÝROBKŮ|
171110|1992-01-01|2025-12-31|VÝROBA CHEMICKÝCH BUNIČIN|
172000|1992-01-01|2025-12-31|VÝROBA VÝROBKŮ Z PAPÍRU A LEPENKY|
172400|1992-01-01|2025-12-31|VÝROBA TAPET|
181100|1992-01-01|2025-12-31|TISK NOVIN|
182000|1992-01-01|2025-12-31|ROZMNOŽOVÁNÍ NAHRANÝCH NOSIČŮ|
200000|1992-01-01|2025-12-31|VÝROBA CHEMICKÝCH LÁTEK A CHEMICKÝCH PŘÍPRAVKŮ|
201300|1992-01-01|2025-12-31|VÝROBA JINÝCH ZÁKLADNÍCH ANORGANICKÝCH CHEMICKÝCH LÁTEK|
201600|1992-01-01|2025-12-31|VÝROBA PLASTŮ V PRIMÁRNÍCH FORMÁCH|
204000|1992-01-01|2025-12-31|VÝROBA MÝDEL A DETERGENTŮ, ČISTICÍCH A LEŠTICÍCH PROSTŘEDKŮ, PARFÉMŮ A TOALETNÍCH PŘÍPRAVKŮ|
205100|1992-01-01|2025-12-31|VÝROBA VÝBUŠNIN|
205990|1992-01-01|2025-12-31|VÝROBA JINÝCH CHEMICKÝCH VÝROBKŮ J. N.|
212000|1992-01-01|2025-12-31|VÝROBA FARMACEUTICKÝCH PŘÍPRAVKŮ|
221200|2026-01-01||VÝROBA OSTATNÍCH PRYŽOVÝCH VÝROBKŮ|
222300|1992-01-01|2025-12-31|VÝROBA PLASTOVÝCH VÝROBKŮ PRO STAVEBNICTVÍ|
231000|1992-01-01|2025-12-31|VÝROBA SKLA A SKLENĚNÝCH VÝROBKŮ|
231400|1992-01-01|2025-12-31|VÝROBA SKLENĚNÝCH VLÁKEN|
233100|1992-01-01|2025-12-31|VÝROBA KERAMICKÝCH OBKLÁDAČEK A DLAŽDIC|
234200|1992-01-01|2025-12-31|VÝROBA KERAMICKÝCH SANITÁRNÍCH VÝROBKŮ|
235000|1992-01-01|2025-12-31|VÝROBA CEMENTU, VÁPNA A SÁDRY|
236100|1992-01-01|2025-12-31|VÝROBA BETONOVÝCH VÝROBKŮ PRO STAVEBNÍ ÚČELY|
236500|1992-01-01|2025-12-31|VÝROBA VLÁKNITÝCH CEMENTŮ|
239100|1992-01-01|2025-12-31|VÝROBA BRUSIV|
241010|1992-01-01|2025-12-31|VÝROBA SUROVÉHO ŽELEZA, OCELI A FEROSLITIN|
242000|2026-01-01||VÝROBA OCELOVÝCH TRUB, TRUBEK, DUTÝCH PROFILŮ A SOUVISEJÍCÍCH POTRUBNÍCH TVAROVEK|
243300|2026-01-01||TVÁŘENÍ OCELOVÝCH PROFILŮ ZA STUDENA|
244200|2026-01-01||VÝROBA A HUTNÍ ZPRACOVÁNÍ HLINÍKU|
244600|2026-01-01||ZPRACOVÁNÍ JADERNÉHO PALIVA|
245120|2026-01-01||ODLÉVÁNÍ LITINY S KULIČKOVÝM GRAFITEM|
245220|2026-01-01||ODLÉVÁNÍ LEGOVANÝCH OCELÍ|
251000|2026-01-01||VÝROBA KONSTRUKČNÍCH KOVOVÝCH VÝROBKŮ|
252100|2026-01-01||VÝROBA RADIÁTORŮ K ÚSTŘEDNÍMU TOPENÍ A PARNÍCH KOTLŮ|
255000|2026-01-01||POVRCHOVÉ ÚPRAVY A ZUŠLECHŤOVÁNÍ KOVŮ; OBRÁBĚNÍ|
256200|1992-01-01|2025-12-31|OBRÁBĚNÍ|
259000|2026-01-01||VÝROBA OSTATNÍCH KOVOVÝCH VÝROBKŮ|
259400|2026-01-01||VÝROBA SPOJOVACÍCH MATERIÁLŮ A VÝROBKŮ SE ZÁVITY|
261100|2026-01-01||VÝROBA ELEKTRONICKÝCH SOUČÁSTEK|
264000|2026-01-01||VÝROBA SPOTŘEBNÍ ELEKTRONIKY|
266000|2026-01-01||VÝROBA OZAŘOVACÍCH, ELEKTROLÉČEBNÝCH A ELEKTROTERAPEUTICKÝCH PŘÍSTROJŮ|
271100|1992-01-01|2025-12-31|VÝROBA ELEKTRICKÝCH MOTORŮ, GENERÁTORŮ A TRANSFORMÁTORŮ|
273100|1992-01-01|2025-12-31|VÝROBA OPTICKÝCH KABELŮ|
275000|1992-01-01|2025-12-31|VÝROBA SPOTŘEBIČŮ PŘEVÁŽNĚ PRO DOMÁCNOST|
280000|1992-01-01|2025-12-31|VÝROBA STROJŮ A ZAŘÍZENÍ J. N.|
281300|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH ČERPADEL A KOMPRESORŮ|
282100|1992-01-01|2025-12-31|VÝROBA PECÍ A HOŘÁKŮ PRO TOPENIŠTĚ|
282500|1992-01-01|2025-12-31|VÝROBA PRŮMYSLOVÝCH CHLADICÍCH A KLIMATIZAČNÍCH ZAŘÍZENÍ|
284100|1992-01-01|2025-12-31|VÝROBA KOVOOBRÁBĚCÍCH STROJŮ|
289200|1992-01-01|2025-12-31|VÝROBA STROJŮ PRO TĚŽBU, DOBÝVÁNÍ A STAVEBNICTVÍ|
289600|1992-01-01|2025-12-31|VÝROBA STROJŮ NA VÝROBU PLASTŮ A PRYŽE|
291000|2026-01-01||VÝROBA MOTOROVÝCH VOZIDEL|
293200|2026-01-01||VÝROBA OSTATNÍCH DÍLŮ A PŘÍSLUŠENSTVÍ PRO MOTOROVÁ VOZIDLA|
301200|2026-01-01||STAVBA REKREAČNÍCH A SPORTOVNÍCH ČLUNŮ|
304000|1992-01-01|2025-12-31|VÝROBA VOJENSKÝCH BOJOVÝCH VOZIDEL|
309900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH DOPRAVNÍCH PROSTŘEDKŮ A ZAŘÍZENÍ J. N.|
320000|1992-01-01|2025-12-31|OSTATNÍ ZPRACOVATELSKÝ PRŮMYSL|
321300|1992-01-01|2025-12-31|VÝROBA BIŽUTERIE A PŘÍBUZNÝCH VÝROBKŮ|
325000|1992-01-01|2025-12-31|VÝROBA LÉKAŘSKÝCH A DENTÁLNÍCH NÁSTROJŮ A POTŘEB|
330000|1992-01-01|2025-12-31|OPRAVY A INSTALACE STROJŮ A ZAŘÍZENÍ|
331300|1992-01-01|2025-12-31|OPRAVY ELEKTRONICKÝCH A OPTICKÝCH PŘÍSTROJŮ A ZAŘÍZENÍ|
331700|1992-01-01|2025-12-31|OPRAVY A ÚDRŽBA OSTATNÍCH DOPRAVNÍCH PROSTŘEDKŮ A ZAŘÍZENÍ J. N.|
331820|2026-01-01||OPRAVY A ÚDRŽBA VOJENSKÝCH LODÍ A ČLUNŮ|
351000|1992-01-01|2025-12-31|VÝROBA, PŘENOS A ROZVOD ELEKTŘINY|
351400|1992-01-01|2025-12-31|OBCHOD S ELEKTŘINOU|
352200|1992-01-01|2025-12-31|ROZVOD PLYNNÝCH PALIV PROSTŘEDNICTVÍM SÍTÍ|
353010|2026-01-01||VÝROBA A DISTRIBUCE PÁRY|
353060|1992-01-01|2025-12-31|ROZVOD CHLADICÍ VODY|
380000|2026-01-01||SBĚR ODPADŮ, ZPRACOVÁNÍ ODPADŮ K DALŠÍMU VYUŽITÍ A ODSTRAŇOVÁNÍ ODPADŮ|
382000|2026-01-01||ZPRACOVÁNÍ ODPADŮ K DALŠÍMU VYUŽITÍ|
383100|1992-01-01|2025-12-31|DEMONTÁŽ VRAKŮ A VYŘAZENÝCH STROJŮ A ZAŘÍZENÍ PRO ÚČELY RECYKLACE|
410000|2026-01-01||VÝSTAVBA BYTOVÝCH A NEBYTOVÝCH BUDOV|
421000|2026-01-01||VÝSTAVBA SILNIC A ŽELEZNIC|
422000|2026-01-01||VÝSTAVBA INŽENÝRSKÝCH SÍTÍ|
429000|2026-01-01||VÝSTAVBA OSTATNÍCH INŽENÝRSKÝCH DĚL|
431000|2026-01-01||DEMOLICE A PŘÍPRAVA STAVENIŠTĚ|
432000|2026-01-01||ELEKTROINSTALAČNÍ, INSTALATÉRSKÉ A OSTATNÍ STAVEBNĚ INSTALAČNÍ ČINNOSTI|
432400|2026-01-01||OSTATNÍ STAVEBNÍ INSTALACE|
433300|1992-01-01|2025-12-31|OBKLÁDÁNÍ STĚN A POKLÁDÁNÍ PODLAHOVÝCH KRYTIN|
434000|2026-01-01||SPECIALIZOVANÉ STAVEBNÍ ČINNOSTI PŘI VÝSTAVBĚ BUDOV|
439100|2026-01-01||ZEDNICKÉ PRÁCE|
451900|1992-01-01|2025-12-31|OBCHOD S OSTATNÍMI MOTOROVÝMI VOZIDLY, KROMĚ MOTOCYKLŮ|
461000|1992-01-01|2025-12-31|ZPROSTŘEDKOVÁNÍ VELKOOBCHODU A VELKOOBCHOD V ZASTOUPENÍ|
461400|1992-01-01|2025-12-31|ZPROSTŘEDKOVÁNÍ VELKOOBCHODU A VELKOOBCHOD V ZASTOUPENÍ SE STROJI, PRŮMYSLOVÝM ZAŘÍZENÍM, LODĚMI A LETADLY|
461800|1992-01-01|2025-12-31|ZPROSTŘEDKOVÁNÍ SPECIALIZOVANÉHO VELKOOBCHODU A SPECIALIZOVANÝ VELKOOBCHOD V ZASTOUPENÍ S OSTATNÍMI VÝROBKY|
462100|1992-01-01|2025-12-31|VELKOOBCHOD S OBILÍM, SUROVÝM TABÁKEM, OSIVY A KRMIVY|
463000|1992-01-01|2025-12-31|VELKOOBCHOD S POTRAVINAMI, NÁPOJI A TABÁKOVÝMI VÝROBKY|
463400|1992-01-01|2025-12-31|VELKOOBCHOD S NÁPOJI|
463800|1992-01-01|2025-12-31|SPECIALIZOVANÝ VELKOOBCHOD S JINÝMI POTRAVINAMI, VČETNĚ RYB, KORÝŠŮ A MĚKKÝŠŮ|
464200|1992-01-01|2025-12-31|VELKOOBCHOD S ODĚVY A OBUVÍ|
464410|1992-01-01|2025-12-31|VELKOOBCHOD S PORCELÁNOVÝMI, KERAMICKÝMI A SKLENĚNÝMI VÝROBKY|
464800|1992-01-01|2025-12-31|VELKOOBCHOD S HODINAMI, HODINKAMI A KLENOTY|
466000|1992-01-01|2025-12-31|VELKOOBCHOD S OSTATNÍMI STROJI, STROJNÍM ZAŘÍZENÍM A PŘÍSLUŠENSTVÍM|
466400|1992-01-01|2025-12-31|VELKOOBCHOD SE STROJNÍM ZAŘÍZENÍM PRO TEXTILNÍ PRŮMYSL, ŠICÍMI A PLETACÍMI STROJI|
467100|2026-01-01||VELKOOBCHOD S MOTOROVÝMI VOZIDLY|
467400|1992-01-01|2025-12-31|VELKOOBCHOD S ŽELEZÁŘSKÝM ZBOŽÍM, INSTALATÉRSKÝMI A TOPENÁŘSKÝMI POTŘEBAMI|
468200|2026-01-01||VELKOOBCHOD S RUDAMI, KOVY A HUTNÍMI VÝROBKY|
469000|2026-01-01||NESPECIALIZOVANÝ VELKOOBCHOD|
471900|1992-01-01|2025-12-31|OSTATNÍ MALOOBCHOD V NESPECIALIZOVANÝCH PRODEJNÁCH|
472300|2026-01-01||MALOOBCHOD S RYBAMI, KORÝŠI A MĚKKÝŠI|
472900|1992-01-01|2025-12-31|OSTATNÍ MALOOBCHOD S POTRAVINAMI VE SPECIALIZOVANÝCH PRODEJNÁCH|
475000|1992-01-01|2025-12-31|MALOOBCHOD S OSTATNÍMI VÝROBKY PŘEVÁŽNĚ PRO DOMÁCNOST VE SPECIALIZOVANÝCH PRODEJNÁCH|
475400|1992-01-01|2025-12-31|MALOOBCHOD S ELEKTROSPOTŘEBIČI A ELEKTRONIKOU|
476200|1992-01-01|2025-12-31|MALOOBCHOD S NOVINAMI, ČASOPISY A PAPÍRNICKÝM ZBOŽÍM|
476500|1992-01-01|2025-12-31|MALOOBCHOD S HRAMI A HRAČKAMI|
477300|1992-01-01|2025-12-31|MALOOBCHOD S FARMACEUTICKÝMI PŘÍPRAVKY|
477700|1992-01-01|2025-12-31|MALOOBCHOD S HODINAMI, HODINKAMI A KLENOTY|
