c_nace|d_pocpl|d_ukopl|naz_nace|
773900|1992-01-01|2025-12-31|PRONÁJEM A LEASING OSTATNÍCH STROJŮ, ZAŘÍZENÍ A VÝROBKŮ J. N.|
780000|2026-01-01||ČINNOSTI SOUVISEJÍCÍ SE ZAMĚSTNÁNÍM|
791000|1992-01-01|2025-12-31|ČINNOSTI CESTOVNÍCH AGENTUR A CESTOVNÍCH KANCELÁŘÍ|
799010|1992-01-01|2025-12-31|PRŮVODCOVSKÉ ČINNOSTI|
803000|1992-01-01|2025-12-31|PÁTRACÍ ČINNOSTI|
812100|2026-01-01||VŠEOBECNÝ ÚKLID BUDOV|
820000|2026-01-01||ADMINISTRATIVNÍ, KANCELÁŘSKÉ A JINÉ PODPŮRNÉ ČINNOSTI PRO PODNIKÁNÍ|
823000|2026-01-01||POŘÁDÁNÍ KONGRESŮ A VELETRHŮ|
829900|1992-01-01|2025-12-31|OSTATNÍ PODPŮRNÉ ČINNOSTI PRO PODNIKÁNÍ J. N.|
841200|1992-01-01|2025-12-31|REGULACE ČINNOSTÍ SOUVISEJÍCÍCH S POSKYTOVÁNÍM ZDRAVOTNÍ PÉČE, VZDĚLÁVÁNÍM, KULTUROU A SOCIÁLNÍ PÉČÍ, KROMĚ SOCIÁLNÍHO ZABEZPEČENÍ|
841300|1992-01-01|2025-12-31|REGULACE A PODPORA PODNIKATELSKÉHO PROSTŘEDÍ|
842190|1992-01-01|2025-12-31|OSTATNÍ ČINNOSTI V OBLASTI ZAHRANIČNÍCH VĚCÍ|
842500|2026-01-01||ČINNOSTI V OBLASTI PROTIPOŽÁRNÍ OCHRANY|
852000|2026-01-01||PRIMÁRNÍ VZDĚLÁVÁNÍ|
853120|2026-01-01||SEKUNDÁRNÍ VŠEOBECNÉ VZDĚLÁVÁNÍ NA STŘEDNÍCH ŠKOLÁCH|
853300|2026-01-01||POSTSEKUNDÁRNÍ NETERCIÁRNÍ VZDĚLÁVÁNÍ|
855000|2026-01-01||OSTATNÍ VZDĚLÁVÁNÍ|
855320|1992-01-01|2025-12-31|ČINNOSTI LETECKÝCH ŠKOL|
855990|1992-01-01|2025-12-31|JINÉ VZDĚLÁVÁNÍ J. N.|
861000|1992-01-01|2025-12-31|ÚSTAVNÍ ZDRAVOTNÍ PÉČE|
862300|1992-01-01|2025-12-31|ZUBNÍ PÉČE|
869300|2026-01-01||ČINNOSTI PSYCHOLOGŮ A PSYCHOTERAPEUTŮ, KROMĚ LÉKAŘŮ|
871000|1992-01-01|2025-12-31|SOCIÁLNÍ PÉČE VE ZDRAVOTNICKÝCH ZAŘÍZENÍCH ÚSTAVNÍ PÉČE|
873010|1992-01-01|2025-12-31|SOCIÁLNÍ PÉČE V DOMOVECH PRO SENIORY|
881000|1992-01-01|2025-12-31|AMBULANTNÍ NEBO TERÉNNÍ SOCIÁLNÍ SLUŽBY PRO SENIORY A OSOBY SE ZDRAVOTNÍM POSTIŽENÍM|
889900|1992-01-01|2025-12-31|OSTATNÍ AMBULANTNÍ NEBO TERÉNNÍ SOCIÁLNÍ SLUŽBY J. N.|
900100|1992-01-01|2025-12-31|SCÉNICKÁ UMĚNÍ|
901200|2026-01-01||VÝTVARNÁ TVORBA|
910100|1992-01-01|2025-12-31|ČINNOSTI KNIHOVEN A ARCHIVŮ|
911200|2026-01-01||ČINNOSTI ARCHIVŮ|
920000|1992-01-01|2025-12-31|ČINNOSTI HEREN, KASIN A SÁZKOVÝCH KANCELÁŘÍ|
931200|1992-01-01|2025-12-31|ČINNOSTI SPORTOVNÍCH KLUBŮ|
932100|1992-01-01|2025-12-31|ČINNOSTI LUNAPARKŮ A ZÁBAVNÍCH PARKŮ|
941100|1992-01-01|2025-12-31|ČINNOSTI PODNIKATELSKÝCH A ZAMĚSTNAVATELSKÝCH ORGANIZACÍ|
949100|1992-01-01|2025-12-31|ČINNOSTI NÁBOŽENSKÝCH ORGANIZACÍ|
